key,en,pl
CONTEXT_HELMETS_5,Elf Helmet,Elfi Hełm
CONTEXT_HELMETS_6,North Helmet,Hełm z Północy
CONTEXT_HELMETS_7,Royal Helmet,Szlachecki Hełm
CONTEXT_HELMETS_8,Death Knight Helmet,Hełm Rycerza Śmierci
CONTEXT_HELMETS_9,Ancient Helmet,Starożytny Hełm
CONTEXT_NECKS_1,Solider Necklace,Naszyjnik Żołnierza
CONTEXT_NECKS_2,Archer Necklace,Naszyjnik Łucznika
CONTEXT_NECKS_3,Warrior Necklace,Naszyjnik Wojownika
CONTEXT_NECKS_4,Ranger Necklace,Naszyjnik Obieżyświata
CONTEXT_NECKS_5,Mage Necklace,Naszyjnik Maga
CONTEXT_NECKS_6,Knight Necklace,Naszyjnik Rycerza
CONTEXT_NECKS_7,Assassin Necklace,Naszyjnik Zabójcy
CONTEXT_NECKS_8,Archmage Necklace,Naszyjnik Arcymaga
CONTEXT_NECKS_9,Ancient Necklace,Starożytny Amulet
CONTEXT_RINGS_1,Solider Ring,Pierścień Żołnierza
CONTEXT_RINGS_2,Archer Ring,Pierścień Łucznika
CONTEXT_RINGS_3,Warrior Ring,Pierścień Wojownika
CONTEXT_RINGS_4,Ranger Ring,Pierścień Obieżyświata
CONTEXT_RINGS_5,Mage Ring,Pierścień Maga
CONTEXT_RINGS_6,Knight Ring,Pierścień Rycerza
CONTEXT_RINGS_7,Assassin Ring,Pierścień Zabójcy
CONTEXT_RINGS_8,Archmage Ring,Pierścień Arcymaga
CONTEXT_RINGS_9,Ancient Ring,Starożytny Pierścień
CONTEXT_TRINKET_1,Solider Trinket,Drobiazg Żołnierza
CONTEXT_TRINKET_2,Archer Trinket,Drobiazg Łucznika
CONTEXT_TRINKET_3,Warrior Trinket,Drobiazg Wojownika
CONTEXT_TRINKET_4,Ranger Trinket,Drobiazg Obieżyświata
CONTEXT_TRINKET_5,Mage Trinket,Drobiazg Maga
CONTEXT_TRINKET_6,Knight Trinket,Drobiazg Rycerza
CONTEXT_TRINKET_7,Assassin Trinket,Drobiazg Zabójcy
CONTEXT_TRINKET_8,Archmage Trinket,Drobiazg Arcymaga
CONTEXT_TRINKET_9,Ancient Trinket,Drobiazg Starożytnych
CONTEXT_EMBLEMS,Emblems,Emblematy
CONTEXT_FOODS,Food,Żywność
CONTEXT_MATERIALS,Materials,Zasoby
CONTEXT_MATERIALS_GEMS,Gems,Kryształy
CONTEXT_MATERIALS_LEATHERS,Leathers,Skóry
CONTEXT_MATERIALS_METALS,Metals,Metale
CONTEXT_MATERIALS_RUNES,Runes,Runy
CONTEXT_MATERIALS_WOODS,Woods,Drewno
CONTEXT_NAME_OF_AGILITY,Of Agility,Zręczności
CONTEXT_NAME_OF_BEAR,Of Bear,Niedźwiedzia
CONTEXT_NAME_OF_BOAR,of Boar,Dzika
CONTEXT_NAME_OF_CONDITION,Of Condition,Wytrzymałości
CONTEXT_NAME_OF_DRAGON,Of Dragon,Smocze
CONTEXT_NAME_OF_INTELLIGENCE,Of Intelligence,Inteligencji
CONTEXT_NAME_OF_RAVEN,Of Raven,Kruka
CONTEXT_NAME_OF_STRONG,Of Strong,Siły
CONTEXT_NAME_OF_TIGER,Of Tiger,Tygrysa
CONTEXT_NAME_OF_WISDOM,Of Wisdom,Mądrości
CONTEXT_NAME_OF_WOLF,Of Wolf,Wilka
CONTEXT_POTIONS_HERBS,Herbs,Zioła
CONTEXT_POTIONS_INGREDIENTS,Ingredients,Składniki
CONTEXT_POTIONS,Potions,Mikstury
CONTEXT_RUNES,Runes,Runy
CONTEXT_SCROLL,Scrolls,Zwoje
CONTEXT_1H_AXE,One-handed Axes,Topory jednoręczne
CONTEXT_2H_AXE,Two-handed Axes,Topory dwuręczne
CONTEXT_BOWS,Bows,Łuki
CONTEXT_FISTS,Fists,Pięści
CONTEXT_1H_MACE,One-handed Maces,Jednoręczne Pałki
CONTEXT_2H_MACE,Two-handed Maces,Dwuręczne Pałki
CONTEXT_M_BOOKS,Magic Books,Magiczne Księgi
CONTEXT_M_STAFFS,Magic Staffs,Magiczne Różdżki
CONTEXT_1H_SWORD,One-handed Swords,Miecze jednoręczne
CONTEXT_2H_SWORD,Two-handed Swords,Miecze dwuręczne
CONTEXT_SKILLS,Skills,Umiejętności
CONTEXT_SKILLS_ALCH_1,Practicing Alchemist,Początkujący Alchemik
CONTEXT_SKILLS_ALCH_2,Advanced Alchemist,Zaawansowany Alchemik
CONTEXT_SKILLS_ALCH_3,Master Alchemist,Mistrz Alchemii
CONTEXT_SKILLS_CRAFT_1,Practicing Crafting,Początkujący Rzemieślnik
CONTEXT_SKILLS_CRAFT_2,Advanced Crafting,Zaawansowany Rzemieślnik
CONTEXT_SKILLS_CRAFT_3,Master Crafting,Mistrz Rzemiosła
CONTEXT_SKILLS_ENCH_1,Novice Enchanter,Nowicjusz Zaklinania
CONTEXT_SKILLS_ENCH_2,Advanced Enchanter,Zaawansowany Zaklinacz
CONTEXT_SKILLS_ENCH_3,Master Enchanter,Mistrz Zaklinania
CONTEXT_SKILLS_MAGIC,Magic Skills,Umiejętności Magiczne
CONTEXT_SKILLS_MAGIC_ARCHER,Archer Skills,Umiejętności Łucznika
CONTEXT_SKILLS_MAGIC_ELEMENTAL,Elementalist Skills,Umiejętności Żywiołów
CONTEXT_SKILLS_MAGIC_ENEMIES,Enemies Skills,Umiejętności Przeciwników
CONTEXT_SKILLS_MAGIC_ROGUE,Rogue Skills,Umiejętności Bandyty
CONTEXT_SKILLS_MAGIC_THAUMATURGE,Thaumaturge Skills,Umiejętności Traumaturga
CONTEXT_SKILLS_MAGIC_WARRIOR,Warrior Skills,Umiejętności Wojownika
CONTEXT_SKILLS_WEAPON,Weapon Skills,Umiejętności Walki Wręcz
CONTEXT_SKILLS_WEAPON_1H_1,Novice One-Handed,Nowicjusz broni jednoręcznej
CONTEXT_SKILLS_WEAPON_1H_2,Warrior of One-Handed,Wojownik broni jednoręcznej
CONTEXT_SKILLS_WEAPON_1H_3,Master of One-Handed,Mistrz broni jednoręcznej
CONTEXT_SKILLS_WEAPON_2H_1,Novice Two-Handed,Nowicjusz broni dwuręcznej
CONTEXT_SKILLS_WEAPON_2H_2,Warrior of Two-Handed,Wojownik broni dwuręcznej
CONTEXT_SKILLS_WEAPON_2H_3,Master of Two-Handed,Mistrz broni dwuręcznej
CONTEXT_SKILLS_WEAPON_BOW_1,Novice Archer,Początkujący Łucznik
CONTEXT_SKILLS_WEAPON_BOW_2,Hunter,Łowczy
CONTEXT_SKILLS_WEAPON_BOW_3,Ranger,Specjalista
CONTEXT_SKILLS_WEAPON_CROSSBOW_1,,
CONTEXT_SKILLS_WEAPON_CROSSBOW_2,,
CONTEXT_SKILLS_WEAPON_CROSSBOW_3,,
CONTEXT_SKILLS_THAUMATURGE_1,Gifted,Obdażony
CONTEXT_SKILLS_THAUMATURGE_2,Thaumaturge,Traumaturg
CONTEXT_SKILLS_THAUMATURGE_3,Archthaumaturge,Arcytraumaturg
CONTEXT_SKILLS_ELEMENTALIST_1,Novice of Elemental,Nowicjusz Żywiołów
CONTEXT_SKILLS_ELEMENTALIST_2,Mage of Elememtal,Mag Żywiołów
CONTEXT_SKILLS_ELEMENTALIST_3,Archmage of Elemental,Arcymag Żywiołów
CONTEXT_MENU_NEW_GAME,New Game,Nowa Gra
CONTEXT_MENU_LOAD,Load Game,Wczytaj Grę
CONTEXT_MENU_EXIT,Exit,Wyłącz
CONTEXT_ADVENTURE_NAME_INPUT,Adventure Name,Imię poszukiwacza
CONTEXT_ADVENTURE_NAME_INPUT_PLACE_HOLDER,Adventure Name,Poszukiwacz
CONTEXT_MENU_ACCEPT,Accept,Gotowe
CONTEXT_MENU_RETURN,Return,Powrót
CONTEXT_MENU_RESET_DEFAULT,Default config,Domyślna konfiguracja
CONTEXT_MENU_PRESS_KEY,Press the key…,Naciśnij klawisz...
CONTEXT_MENU_NOT_ASSIGN,Not assign,Nie przypisano
CONTEXT_ADVENTURE_MODEL,Adventure Model,Model postaci
CONTEXT_MENU_ARCHETYPE_MAIN,Archetype,Archetyp postaci
CONTEXT_MENU_ARCHETYPE_MAGE,Novice,Nowicjusz
CONTEXT_MENU_ARCHETYPE_CLERIC,Cleric,Kleryk
CONTEXT_MENU_ARCHETYPE_KNIGHT,Knight,Rycerz
CONTEXT_MENU_ARCHETYPE_WARRIOR,Warrior,Wojownik
CONTEXT_MENU_ARCHETYPE_ROGUE,Rogue,Bandyta
CONTEXT_MENU_ARCHETYPE_HUNTER,Hunter,Łowczy
CONTEXT_MENU_ARCHETYPE_UNKNOWN,Unknown,Nieznajomy
CONTEXT_MENU_ARCHETYPE_TEST,Great Test Knight,Wielki Test
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_MENU_ARCHETYPE_WEAPON,Starting weapon,Broń startowa
CONTEXT_MENU_ARCHETYPE_ABILITIES,Known Abilities,Początkowe Umiejętności
CONTEXT_MENU_ARCHETYPE_DETAILS,Archetype details,Szczegóły Archetypu
CONTEXT_MENU_ARCHETYPE,Archetype,Archetyp
CONTEXT_SKILLS_WARRIOR,Warrior,Wojownik
CONTEXT_SKILLS_RANGER,Ranger,Łowca
CONTEXT_SKILLS_OFFENSIVE,Offenisve,Ofensywny
CONTEXT_SKILLS_CURSE,Curse,Przekleństwo
CONTEXT_SKILLS_BUFF,Buff,Błogosławieństwo
CONTEXT_SKILLS_CRAFTING,Crafting,Rzemiosło
CONTEXT_SKILLS_HEAL,Heal,Uzdrowienie
CONTEXT_SKILLS,Skill,Umiejętność
ENCOUNTER_AMBUSH,Ambush,Zasadzka
ENCOUNTER_SOMETHING_VALUE,Something Value,Coś wartościowego
ENCOUNTER_ENCOUNTER,Encounter,Spotkanie
ITEM_COMMON,Common,Pospolity
ITEM_UNCOMMON,Uncommon,Niepospolity
ITEM_RARE,Rare,Rzadki
ITEM_EPIC,Epic,Epicki
ITEM_LEGENDARY,Legendary,Legendarny
ITEM_TYPE_1H,One-handed,Jednoręczny
ITEM_TYPE_2H,Two-handed,Dwuręczny
ITEM_TYPE_RANGED,Ranged,Dystans
ITEM_TYPE_RING,Ring,Pierścień
ITEM_TYPE_TRINKET,Trinket,Drobiazg
ITEM_TYPE_GLOVES,Gloves,Rękawice
ITEM_TYPE_CHEST,Chest,Tors
ITEM_TYPE_BOOTS,Boots,Buty
ITEM_TYPE_LEGS,Legs,Spodnie
ITEM_TYPE_POTION,Potions,Eliksiry
ITEM_TYPE_MATERIAL,Materials,Materiały
ITEM_TYPE_HERB,Herbs,Zioła
ITEM_TYPE_RUNE,Runes,Runy
ITEM_TYPE_HELMET,Helmet,Hełm
ITEM_TYPE_AMULET,Amulet,Amulet
ITEM_TYPE_QUEST_ITEM,Quest item,Przedmiot zadania
ITEM_TYPE_DRINK,Drink,Napój
ITEM_TYPE_FOOD,Food,Żywność
ITEM_TYPE_MAGIC_SCROLL,Magic scroll,Magiczny zwój
TABLE_ANVIL,Anvil,Kowadło
TABLE_WORKBENCH,Workbench,Warsztat
TABLE_ALCHEMY,Alchemy Table,Stół Alchemiczny
SKILL_MASTERY_NONE,None,Brak
SKILL_MASTERY_NOVICE,Novice,Nowicjusz
SKILL_MASTERY_ADVANCE,Advance,Zaawansowany
SKILL_MASTERY_MASTER,Master,Mistrz
ATTRIBUTE_TYPE_NONE,None,Żadne
ATTRIBUTE_TYPE_ALL,All,Wszystko
ATTRIBUTE_TYPE_STRONG,Strong,Siła
ATTRIBUTE_TYPE_AGILITY,Agility,Zręczność
ATTRIBUTE_TYPE_INTELLIGENCE,Intelligence,Inteligencja
ATTRIBUTE_TYPE_WISDOM,Wisdom,Mądrość
ATTRIBUTE_TYPE_CONDITION,Condition,Wytrzymałość
ATTRIBUTE_TYPE_SPEED,Speed,Szybkość
ATTRIBUTE_TYPE_HEALTH,Health,Zdrowie
ATTRIBUTE_TYPE_STUN,Stun,Ogłuszenie
ATTRIBUTE_TYPE_ACTION_POINTS,Action Points,Punkty akcji
ATTRIBUTE_TYPE_MAGIC_RESISTS,Magic resist,Redukcja magicznych obrażeń
ATTRIBUTE_TYPE_ARMOR,Damage resist,Redukcja obrażeń
EFFECT_TYPE_BLESS,Bless,Błogosławieństwo
EFFECT_TYPE_CURSE,Curse,Przekleństwo
EFFECT_TYPE_HOT,Heal over time,Uzdrowienie w czasie
EFFECT_TYPE_DOT,Damage over time,Obrażenia w czasie
EFFECT_TYPE_STEAL_LIFE,Steal life,Kradzież życia
CHELLENGE_TYPE_EASY,Easy,Łatwy
CHELLENGE_TYPE_NORMAL,Normal,Normalny
CHELLENGE_TYPE_HARD,Hard,Trudny
CHELLENGE_TYPE_VERY_HARD,Very Hard,Bardzo trudny
MODIFIER_NAME_1H,One-handed,Bronie jednoręczne
MODIFIER_NAME_2H,Two-handed,Bronie dwuręczne
MODIFIER_NAME_RANGED,Ranged,Bronie dystansowe
MODIFIER_NAME_ELEMENTAL,Elemental,Żywioły 
MODIFIER_NAME_THAUMATURGE,Thaumaturge,Taumaturgia
MODIFIER_NAME_CRAFTING,Crafting,Rzemiosło
UI_TYPE,Type,Typ
UI_REQ_LEVEL,Requierd level,Wymagany poziom
UI_DAMAGE_INFO,Damage,Obrażenia
UI_DAMAGE_TYPE_INFO,Damage type,Typ obrażeń
UI_ARMOR_INFO,Armor,Pancerz
UI_MAGIC_RESIST_INFO,Magic Resist,Ochrona Magiczna
UI_STRONG_INFO,Strong,Siła
UI_AGILITY_INFO,Agility,Zręczności
UI_INTELLIGENCE_INFO,Intelligence,Inteligencja
UI_WISDOM_INFO,Wisdom,Mądrości
UI_CONDITION_INFO,Condition,Wytrzymałość
UI_RUNE_SLOT_INFO,Rune slots,Miejsca na runy
UI_SET_INFO,Set,Zestaw
UI_PIECES_BONUS_INFO,Pieces Bonus,Bonus zestawu
UI_EFFECT_INFO,Effect,Efekt
UI_REDUCE_INFO,Reduce,Redukcja
UI_EQUIPMENT_TAB,Equipment,Ekwipunek
UI_STATIC_TAB,Statistic,Statystyki
UI_ABILITIES_TAB,Abilities,Umiejętności
UI_BACKPACK,Backpack,Plecak
UI_MATERIAL,Craft materials,Zasoby do wytwarzania
UI_BELT_ITEMS,Belt Items,Przedmioty na pasku
UI_EQUIPMENT_B,Equip,Załóż
UI_USE_B,Use,Użyj
UI_DISMENTLE_B,Dismentle,Rozłóż
UI_GOLD,Gold,Złoto
UI_SKILL_POINTS,Skill points,Punkty nauki
UI_HEALTH,Health,Zdrowie
UI_PLAYER_LEVEL,Level,Poziom
UI_NEXT_LEVEL_INFO,Next level,Następny poziom
UI_ALL_EXP_INFO,Experience,Doświadczenie
UI_WEAPON_MASTERY,Weapon mastery,Władanie bronią
UI_1H_WEAPON,One-handed,Jednoręczne
UI_2H_WEAPON,Two-handed,Dwuręczne
UI_BOW,Bows,Łuki
UI_MAGIC_MASTERY,Magic mastery,Władanie magią
UI_ELEMENTAL,Elementalist,Żywioły 
UI_THRAUMATURGE,Thaumaturge,Taumaturgia
UI_CRAFT_SKILL_INFO,Crafting Skills,Umiejętności
UI_CRAFTING_SKILL,Crafting,Wytwórstwo
UI_ALCHEMIST_SKILL,Alchemy,Alchemia
UI_ENCHANT_SKILL,Enchanting,Zaklinanie
UI_PIRCE_INFO,Price,Wartość
UI_ACTIVE_SKILLS,Active Skills,Aktywne Umiejętności
UI_TREE_WARRIOR,Warrior,Wojownik
UI_TREE_ROGUE,Rogue,Łotr
UI_TREE_ARCHER,Archer,Łucznik
UI_TREE_MAGE,Mage,Mag Żywiołów
UI_TREE_THAUMATURGE,Thaumaturge,Taumaturg
UI_TREE_CRAFTING,Craftsman,Rzemieślnik
UI_TREE_ADVENTURER,Adventurer,Podróżnik
UI_ASCENSION_POINTS,Ascension points,Punkty specjalizacji
UI_ASCENSION_POINTS_SHORT,AP,SP
UI_SKILL_POINTS_SHORT,LP,PN
UI_REQUIRED_INFO,Required,Wymagania
UI_WEAPON_PASSIVE_BONUS,Weapon Passive bonus,Pasywny bonus broni
UI_SKILL_PASSIVE_BONUS,Skill passive bonus,Pasywny bonus umiejętności
UI_BASED_ON_WEAPON_DAMAGE,Based on weapon damage,Oparte na obrażeniach od broni
UI_MODIFIER,Modifier,Modyfikacja
UI_SKILL_TYPE,Skill type,Typ umiejętności
UI_COOLDOWN,Cooldown,Czas odnowienia
UI_VALUE,Value,Wartość
UI_EFFECT_NAME,Effect,Efekt
UI_TYPE,Type,Typ
UI_ATTRIBUTE,Attribute,Atrybut
UI_DURATION,Duration,Oczekiwanie
UI_ENCHANT_DAMAGE_RESIST,Enchant damage resist,Redukcja obrażeń
UI_ENCHANT_MAGIC_RESIST,Enchant magic resist,Redukcja magicznych obrażeń
UI_DAMAGE_INFO,Damage,Obrażenia
UI_HEAL_POWER,Healing power,Siła uzdrowienia
UI_MANA_POWER,Mana power,Moc many
UI_INCREASE_DURATION,Inrease durotian,Zwiększenie czasu trwania
UI_ENCHANT_RESULT,Enchant result,Wynik zaklinania
UI_REQUIRED_LEVEL,Required level,Wymagany poziom
UI_RUNES_COUNT,Runes slots,Miejsca na runy
UI_ACTIVE_RUNES,Active runes,Aktywne runy
UI_RECOVER_HEALTH,Recover health,Przywrócenie zdrowia
UI_RECOVER_MANA,Recover mana,Przywrócenie many
UI_DAMAGE_RESIST,Damage resist,Redukcja obrażeń
UI_MAGIC_RESIST,Magic resist,Redukcja magicznych obrażeń
UI_CHAR_NAME,Name,Nazwa
UI_ACTIVE_ON,Active on,Aktywne na
UI_LEFT_DURATION,Left duration,Pozostały czas
UI_REQUIRED_WORKERS,Required worker,Wymagany pracownik
UI_CHAR_NAME,Name,Nazwa
UI_GOLD,Gold,Złoto
UI_WOOD_COST,Wood,Drewno
UI_STOME_COST,Stone,Kamienie
UI_WORKER_NAME,Worker,Pracownik
UI_BUILD_COST,Build cost,Koszt budowy
UI_LEVEL_UP,Level up,Następny poziom
UI_RETURN,Return,Powrót
UI_LOAD,Load Game,Wczytaj grę
UI_SAVE,Save Game,Zapisz gre
UI_MAIN_MENU,Main Menu,Manu główne
UI_EXIT,Exit Game,Wyłącz grę
UI_QUALITY_OF_ITEM,Quality of item,Jakość przedmiotu
UI_LEARNED,Proficiency,Biegłość
UI_ADDITIONAL_BELT_INFO,Additilonal belt slots,Dodatkowe miejsce na pasku
UI_ADDITIONAL_SKILL_INFO,Additional skill slots,Dodatkowe miejsce na zdolności
MESS_CUT_TREE_1,I cannot cut that tree.,Nie mogę ściąć tego drzewa.
MESS_CUT_TREE_2,The tree has already been cut down.,To drzewo jest już ścięte.
MESS_CUT_STONE_1,The resource is exhausted.,Zasób jest wyczerpany.
MESS_CUT_STONE_2,I cannot mine that stone.,Nie mogę wydobywać tego zasobu.
MESS_PLAYER_TIRED_1,I am so tired...,Zmęczenie mnie dopadło…
MESS_PLAYER_TIRED_2,I am not sure...,Czy na pewno…
MESS_PLAYER_TIRED_3,I am not sure...,Czy na pewno…
MESS_PLAYER_TIRED_4,"I have no target!"",",Nie mam celu!
MESS_PLAYER_TIRED_5,I have no mana!,Nie mam many!
MESS_PLAYER_TIRED_6,I have no mana!,Nie mam many!
UI_LEARN_BUTTON,Learn {skill_name} for {lp} learning points and {gold} gold,Nacz się {skill_name} za {lp} punktów nauki i {gold} złota
DIALOGUE_BUTTON_ARENA,"I have fighter for you. His name is {item_name}, good luck adventure!","Mam dla Ciebie wojownika. Ma na imię {item_name}, powodzenia podróżniku!"
DIALOGUE_BUTTON_FETCH,Brings me item of name {item_name}. I belive you can find it in dungeon,"Przynieś mi przedmiot o nazwie {item_name}. Wierzę, że jesteś w stanie znaleźć to w lochu"
DIALOGUE_BUTTON_KILL,The monsters are too dangerous. You have to kill some {item_name}. Be careful!,Potwory są zbyt niebezpieczne. Musisz pokonać {item_name}! Bądź ostrożny!
DIALOGUE_STAT_BUTTON,Increase {stat_name} for {lp} learning points and {gold} gold,Zwiększ {stat_name} za {lp} punktów nauki i {gold} złota
DIALOGUE_TRADE_BUTTON,Show me what you have! [TRADE],Pokaż mi co masz! [Handel]
ALCHEMIST_HOUSE_NAME,Alchemist House,Dom Alchemika
ALCHEMIST_HOUSE_DESCRIPTION,Alchemist's house. An alchemy table can be found there.,Dom Alchemika. Można tam znaleźć stół alchemiczny.
GARDEN_NAME,Garden,Ogród
GARDEN_DESCRIPTION,"Once this place has been completed, the cultivation of magical plants may begin. In time, these can be transformed into powerful alchemical ingredients, essential for crafting potions of great power.","Gdy to miejsce zostanie ukończone, będzie można rozpocząć uprawę magicznych roślin. Z czasem mogą one zostać przekształcone w potężne składniki alchemiczne, niezbędne do tworzenia mikstur wielkiej mocy."
ARCHER_HOUSE_NAME,Archer House,Dom Łowcy
ARCHER_HOUSE_DESCRIPTION,Gamekeeper's house. A log for chopping wood can be found here.,Dom Strażnika Kniei. Można tu znaleźć kłodę do rąbania drewna.
ARENA_NAME,Arena,Arena
ARENA_DESCRIPTION,Arena. Fights are organized here.,Arena. Organizowane są tu walki.
BARRACKS_NAME,Barracks,Koszary
BARRACKS_DESCRIPTION,Barracks. Soldiers live here.,Koszary. Mieszkają tu żołnierze.
BLACKSMITH_HOUSE_NAME,Blacksmith House,Dom Kowala
BLACKSMITH_HOUSE_DESCRIPTION,Blacksmith's house. Here we will find a forge and a furnace for smelting metal.,Dom Kowala. Znajdziemy tu kuźnię oraz piec do wytapiania metalu.
ELEMENTALIST_HOUSE_NAME,Elementalist House,Dom Maga
ELEMENTALIST_HOUSE_DESCRIPTION,Enchanter's House. You can find an enchanting table here.,Dom Zaklinacza. Można tu znaleźć stół do zaklinania.
HOUSE_NAME,House,Dom
HOUSE_DESCRIPTION,House.,Dom.
MERCHANT_HOUSE_NAME,Merchant House,Dom Kupca
MERCHANT_HOUSE_DESCRIPTION,Merchant.,Kupiec
TAVERN_HOUSE_NAME,Tavern House,Karczma
TAVERN_HOUSE_DESCRIPTION,Tavern. You can stock up on food or drink beer here.,"Karczma. Można tu zaopatrzyć się w jedzenie lub napić się piwa.
"
THAUMATURGE_HOUSE_NAME,Thaumaturge House,Dom Traumaturga
THAUMATURGE_HOUSE_DESCRIPTION,Thaumaturge. A rune crafting table can be found here.,Dom Teomanty. Można tu znaleźć stół do tworzenia run.
ALCHEMIST_QUEST_01,Build a Alchemist House,Zbuduj dom alchemika
ALCHEMIST_QUEST_02,Build a Garden,Zbuduj Ogród
ALCHEMIST_DIALOGUE_00,"Oh, don't touch anything. What do you want?","Och, niczego nie dotykaj. Czego chcesz?"
ALCHEMIST_DIALOGUE_PATH_00,"Hmm, thank you","Hmm, dziękuję."
ALCHEMIST_DIALOGUE_01,"I am an alchemist. I used to live in these parts... Well, used to. Then the bandits came. They stole all my wares and burned my home to the ground. Cursed bandits... ","Jestem alchemikiem. Kiedyś mieszkałem w tych stronach… no cóż, kiedyś. Potem przyszli bandyci. Ukradli wszystkie moje towary i spalili mój dom doszczętnie. Przeklęci bandyci…"
ALCHEMIST_DIALOGUE_PATH_01,Who are you?,Kim jesteś? 
ALCHEMIST_DIALOGUE_02,"Yes, yes, go now.","Tak, tak, idź już."
ALCHEMIST_DIALOGUE_PATH_02,"Thank you, I have to go.","Dziękuję, muszę iść. "
ALCHEMIST_DIALOGUE_03,"Hmm, maybe I can teach you something.","Hmm, może mogę cię czegoś nauczyć."
ALCHEMIST_DIALOGUE_PATH_03,Can you show me how to craft potion?,"Czy możesz mi pokazać, jak warzyć mikstury?"
ALCHEMIST_DIALOGUE_04,"Yes... Thank you. Those cursed bandits wanted me to brew healing potions for them... Unthinkable! They didn’t even want to pay.Thankfully, you showed up. Thank you again. In return, I can offer you some gold.","Tak... Dziękuję. Ci przeklęci bandyci chcieli, żebym warzył dla nich mikstury lecznicze… Nie do pomyślenia! Nawet nie chcieli zapłacić. Na szczęście się pojawiłeś. Jeszcze raz dziękuję. W zamian mogę zaoferować ci trochę złota."
ALCHEMIST_DIALOGUE_PATH_04,I glad I am find you.,"Cieszę się, że cię znalazłem."
ALCHEMIST_DIALOGUE_05,Yes. As I’ve mentioned — my home was burned down. If you'd like me to keep supplying you with proper potions… Perhaps you could find a place I could turn into a shop? Think it over. That’s all I ask.,"Tak. Jak już wspomniałem — mój dom został spalony. Jeśli chcesz, żebym nadal dostarczał ci odpowiednie mikstury… Może znalazłbyś miejsce, które mógłbym przerobić na sklep? Przemyśl to. Tylko o to proszę."
ALCHEMIST_DIALOGUE_PATH_05,Is there anything I can do to help?,Czy mogę w czymś pomóc?
ALCHEMIST_DIALOGUE_06," Yes! I can finally return to my work! Here — I’ve prepared a few potions for you as a reward, along with some gold. Thank you once again. From now on, I can sell you my wares, and you’re welcome to use my alchemy table. I can also show you how to brew potions… though you'll have to figure out the recipes yourself.","Tak! W końcu mogę wrócić do pracy! Oto — przygotowałem dla ciebie kilka mikstur jako nagrodę, wraz z trochę złota. Jeszcze raz dziękuję. Od teraz mogę sprzedawać ci moje towary, a stół alchemiczny stoi do twojej dyspozycji. Mogę też pokazać ci, jak warzyć mikstury… choć przepisy będziesz musiał odkryć sam."
ALCHEMIST_DIALOGUE_PATH_06,I see the architect must’ve spoken to you and shown you your new home.,"Widzę, że architekt musiał z tobą porozmawiać i pokazać ci twój nowy dom."
